Date,ticker,Close,return_1d,volatility_30d,momentum_30d,ma_50_ratio,ma_200_ratio,drawdown,vix_close,target_return_1d,target_direction_1d,regime,regime_label,regime_0_prob,regime_1_prob,regime_2_prob
2010-04-27,^GSPC,1183.7099609375,-0.0233819452571498,0.0073186198593523,0.0288567251828066,0.0207650384772111,,-0.0275779340426424,22.809999465942383,0.006462752419523,1,1,Bull,5.500701666816643e-12,0.9999999999790816,1.55364473748619e-11
2010-04-28,^GSPC,1191.3599853515625,0.006462752419523,0.0072802633364534,0.0275128296696587,0.0256551451148836,,-0.0212934109830787,21.07999992370605,0.0129432280208421,1,0,Bear,0.9833276962683423,0.016622601526231507,4.970220551073654e-05
2010-04-29,^GSPC,1206.780029296875,0.0129432280208421,0.0075561131923604,0.0347879624752658,0.0370150675208185,,-0.008625788435932,18.440000534057617,-0.0166476801097963,0,0,Bear,0.9994667815628462,0.000531427165367514,1.7912719215092938e-06
2010-04-30,^GSPC,1186.68994140625,-0.0166476801097963,0.0082253743837372,0.017892819826105,0.0183520725097015,,-0.0251298691791521,22.049999237060547,0.0131205867818549,1,0,Bear,0.9998941479568738,6.506274653511696e-05,4.0789296465838734e-05
2010-05-03,^GSPC,1202.260009765625,0.0131205867818549,0.0084578959529477,0.036520376291018,0.030067716420921,,-0.012339001026679,20.190000534057617,-0.0238384658450667,0,0,Bear,0.9986715999664323,5.3059165840612396e-05,0.001275340867776875
2010-05-04,^GSPC,1173.5999755859375,-0.0238384658450667,0.0095776164713328,0.0066819778528794,0.0043836371114709,,-0.035883324017209,23.84000015258789,-0.0065865547286593,0,0,Bear,0.8852681640560048,0.00048415223897905606,0.11424768370506186
2010-05-05,^GSPC,1165.8699951171875,-0.0065865547286593,0.0095649859461997,-0.0070688644042017,-0.0034474632303603,,-0.0422335312683828,24.90999984741211,-0.0323534964113503,0,0,Bear,0.7786876231031316,0.00014109536965624088,0.22117128152704624
2010-05-06,^GSPC,1128.1500244140625,-0.0323534964113503,0.0111963560628853,-0.0338865029988619,-0.0360669532024536,,-0.0732206252774029,32.79999923706055,-0.0153082649980171,0,2,Crisis,6.216969540716799e-07,2.2048198026555265e-06,0.9999971734831816
2010-05-07,^GSPC,1110.8800048828125,-0.0153082649980171,0.0114937475752953,-0.0470520416433674,-0.0509518679545422,,-0.0874080095403531,40.95000076293945,0.043974124451984,1,2,Crisis,1.525359820432605e-16,1.0298018963527099e-10,0.9999999998972271
2010-05-10,^GSPC,1159.72998046875,0.043974124451984,0.0141849581759711,-0.0058803740410529,-0.0101525784256999,,-0.0472775757779966,28.84000015258789,-0.0033972920184899,0,2,Crisis,4.925978210006643e-19,3.240669932007065e-10,0.9999999996757651
2010-05-11,^GSPC,1155.7900390625,-0.0033972920184899,0.0141541571493515,-0.0148564907484306,-0.0141898500633661,,-0.0505142520656425,28.31999969482422,0.0137395239153412,1,2,Crisis,2.452308388571223e-08,1.3666766308705603e-06,0.9999986088001278
2010-05-12,^GSPC,1171.6700439453125,0.0137395239153412,0.0143879758893707,-0.0013636891417175,-0.0015541219280593,,-0.0374687699246226,25.520000457763672,-0.0121451449685835,0,2,Crisis,7.720141811444194e-09,1.3394552869418638e-06,0.9999986528246134
2010-05-13,^GSPC,1157.43994140625,-0.0121451449685835,0.0145490078880731,-0.0102529537928663,-0.014329667761286,,-0.049158851250677,26.68000030517578,-0.0188000145120921,0,2,Crisis,2.312550424718077e-08,4.310090447272894e-06,0.9999956667841822
2010-05-14,^GSPC,1135.6800537109375,-0.0188000145120921,0.0148573111214417,-0.0360070645565561,-0.0330696024268537,,-0.0670346786458587,31.239999771118164,0.0011093685155389,1,2,Crisis,5.243564145987367e-11,1.0502480648653203e-07,0.9999998949228994
2010-05-17,^GSPC,1136.93994140625,0.0011093685155389,0.0147660738156419,-0.042528466694656,-0.0319679085292524,,-0.0659996762922587,30.84000015258789,-0.0141959060371843,0,2,Crisis,9.306324946988156e-11,6.539641184185371e-09,0.9999999933675099
2010-05-18,^GSPC,1120.800048828125,-0.0141959060371843,0.0149374731438071,-0.0577077414240634,-0.0454222840986161,,-0.0792586571263136,33.54999923706055,-0.0051302638735714,0,2,Crisis,2.9272775478081905e-12,1.6261506341385407e-09,0.999999998371095
2010-05-19,^GSPC,1115.050048828125,-0.0051302638735714,0.014931192463553,-0.0570002157613122,-0.0499084545307333,,-0.0839823031745621,35.31999969482422,-0.038975903416611,0,2,Crisis,8.848518378321189e-14,1.6848521705267944e-10,0.9999999998312887
2010-05-20,^GSPC,1071.5899658203125,-0.038975903416611,0.0163546788803447,-0.0968021823757968,-0.0857859479917116,,-0.1196849204539369,45.790000915527344,0.0150243806861449,1,2,Crisis,4.798551650524704e-26,3.1835754182544106e-14,1.0
2010-05-21,^GSPC,1087.68994140625,0.0150243806861449,0.0165985927234039,-0.0893191005693929,-0.0710590112593699,,-0.1064587315750829,40.09999847412109,-0.0129080140007874,0,2,Crisis,1.178488585982802e-23,8.88135558501394e-17,1.0
2010-05-24,^GSPC,1073.6500244140625,-0.0129080140007874,0.0166699453427327,-0.1026594327191048,-0.081852565085157,,-0.117992574778193,38.31999969482422,0.0003539373857135,1,2,Crisis,6.270281191463735e-20,5.436295621539893e-15,1.0
2010-05-25,^GSPC,1074.030029296875,0.0003539373857135,0.0166672059926198,-0.1029566645820337,-0.0803246083833211,,-0.11768039937593,34.61000061035156,-0.0056609945338124,0,2,Crisis,1.1478819284824118e-20,1.1509092774504145e-15,1.0
2010-05-26,^GSPC,1067.949951171875,-0.0056609945338124,0.0164393852506506,-0.117870623519999,-0.0840955056206241,,-0.1226752058121384,35.02000045776367,0.032876173067238,1,2,Crisis,1.023811119403921e-20,3.0298041236767057e-16,1.0
2010-05-27,^GSPC,1103.06005859375,0.032876173067238,0.0177552141359422,-0.0896366018903283,-0.0529582511123516,,-0.0938321240422392,29.68000030517578,-0.0123746883115906,0,2,Crisis,5.830490707945482e-22,2.0087419712976786e-15,1.0
2010-11-15,^GSPC,1197.75,-0.0012174356326716,0.0074557726601167,0.0534022577580237,0.0293351292695243,,-0.0229228503859179,20.200000762939453,-0.016205413633636,0,0,Bear,0.9991284846121619,0.00029294646228203696,0.0005785689253848196
2010-11-16,^GSPC,1178.3399658203125,-0.016205413633636,0.0072500809329354,0.0151539658154749,0.0111510032318771,,-0.038756789747388,22.57999992370605,0.0002121628793485,1,0,Bear,0.9999506570671185,2.650460427142714e-05,2.283832869410193e-05
2010-11-17,^GSPC,1178.5899658203125,0.0002121628793485,0.0072468356192023,0.0160521354754561,0.0099836946836133,,-0.0385528496201466,21.76000022888184,0.0153573134939595,1,0,Bear,0.999995025034065,2.311952850894441e-06,2.6630131027318873e-06
2010-11-18,^GSPC,1196.68994140625,0.0153573134939595,0.0077182268762958,0.0333574088198922,0.02387097030244,,-0.0237876043238891,18.75,0.0025403732055502,1,0,Bear,0.9999922894509696,4.71832981575197e-06,2.9922194122658553e-06
2010-11-19,^GSPC,1199.72998046875,0.0025403732055502,0.0076657532634065,0.0296785438184901,0.0248904419540458,,-0.0213076605109875,18.040000915527344,-0.0015753666901773,0,0,Bear,0.9999992478390696,6.144585671527652e-07,1.3770232288202086e-07
2010-11-22,^GSPC,1197.8399658203125,-0.0015753666901773,0.0076788256807998,0.027906515832677,0.0219499239106091,,-0.0228494598225501,18.3700008392334,-0.0142840327921811,0,0,Bear,0.9999994263704874,4.5491895896892504e-07,1.1871039546137695e-07
2010-11-23,^GSPC,1180.72998046875,-0.0142840327921811,0.0081426044932764,0.0093693296583989,0.0063284391539761,,-0.0368071101813424,20.6299991607666,0.0149229674935436,1,0,Bear,0.9999955176659072,2.1542158771060125e-06,2.3281184160490797e-06
2011-05-03,^GSPC,1356.6199951171875,-0.003379303628319,0.005282792459891,0.0448558896589228,0.0288777727944404,,-0.0051260919980523,16.700000762939453,-0.0068553086801006,0,0,Bear,0.9999996511965645,3.1116284356961794e-07,3.764079260261566e-08
2011-05-04,^GSPC,1347.3199462890625,-0.0068553086801006,0.0054238204810743,0.0413906072558509,0.0213306193654641,,-0.0119462597351838,17.079999923706055,-0.0090698358150064,0,0,Bear,0.9999997511622806,2.140111090705642e-07,3.48267876688318e-08
2011-05-05,^GSPC,1335.0999755859375,-0.0090698358150064,0.0057381504234631,0.0289470346907949,0.0116424722052288,,-0.0209077449357887,18.200000762939453,0.0038199203649145,1,0,Bear,0.9999996957395078,2.3479086222077276e-07,6.9469853269482e-08
